round,candidate_id,accepted,rationale,dev_accuracy_before,dev_f1_before,dev_accuracy_after,dev_precision_after,dev_recall_after,dev_f1_after,test_accuracy_after,test_precision_after,test_recall_after,test_f1_after,test_tp_after,test_fp_after,test_tn_after,test_fn_after,regex_rules,callbacks
1,seed_obvious_attacks,1,Replay planner follows the retained rule-family order from the report.,0.589520,0.000000,0.611681,1.000000,0.053989,0.102448,0.611316,1.000000,0.053062,0.100777,266,0,7200,4747,4,0
2,injection_and_path_rules,1,Replay planner follows the retained rule-family order from the report.,0.611681,0.102448,0.675328,1.000000,0.209043,0.345799,0.671907,1.000000,0.200678,0.334275,1006,0,7200,4007,9,0
3,encoding_and_file_probe_rules,1,Replay planner follows the retained rule-family order from the report.,0.675328,0.345799,0.678712,0.998779,0.217553,0.357283,0.675264,0.999047,0.209056,0.345760,1048,1,7199,3965,12,0
4,resource_and_markup_rules,1,Replay planner follows the retained rule-family order from the report.,0.678712,0.357283,0.682751,0.998832,0.227394,0.370451,0.678212,0.999078,0.216238,0.355526,1084,1,7199,3929,15,0
5,endpoint_value_callbacks,1,Replay planner follows the retained rule-family order from the report.,0.682751,0.370451,0.730677,0.999228,0.344149,0.511968,0.727258,0.999406,0.335727,0.502613,1683,1,7199,3330,15,2
6,endpoint_schema_callbacks,1,Replay planner follows the retained rule-family order from the report.,0.730677,0.511968,0.916266,0.999666,0.796277,0.886454,0.915090,0.999749,0.793337,0.884662,3977,1,7199,1036,15,5
7,encoded_payload_rules,1,Replay planner follows the retained rule-family order from the report.,0.916266,0.886454,0.935917,0.999685,0.844149,0.915357,0.933268,0.999762,0.837622,0.911538,4199,1,7199,814,19,5
8,value_constraint_rules,1,Replay planner follows the retained rule-family order from the report.,0.935917,0.915357,0.966048,0.999710,0.917553,0.956871,0.962663,0.999781,0.909236,0.952361,4558,1,7199,455,22,8
9,identity_field_callbacks,1,Replay planner follows the retained rule-family order from the report.,0.966048,0.956871,0.978603,0.998601,0.949202,0.973275,0.976091,0.999154,0.942549,0.970027,4725,4,7196,288,22,10
10,contact_location_credential_callbacks,1,Replay planner follows the retained rule-family order from the report.,0.978603,0.973275,0.992576,0.998649,0.983245,0.990887,0.992140,0.999188,0.981648,0.990340,4921,4,7196,92,22,12
