round_number,round_name,regex_rules,callbacks,train_accuracy,train_precision,train_recall,train_f1,test_accuracy,test_precision,test_recall,test_f1,test_tp,test_fp,test_tn,test_fn
1,round_1_seed_obvious_attacks,4,0,0.610333,1.000000,0.050668,0.096450,0.611316,1.000000,0.053062,0.100777,266,0,7200,4747
2,round_2_add_injection_and_path_rules,9,0,0.672275,1.000000,0.201576,0.335519,0.671907,1.000000,0.200678,0.334275,1006,0,7200,4007
3,round_3_add_encoding_and_file_probe_rules,12,0,0.675080,0.999761,0.208458,0.344984,0.675264,0.999047,0.209056,0.345760,1048,1,7199,3965
4,round_4_add_resource_and_broad_markup_rules,15,0,0.678969,0.999771,0.217933,0.357859,0.678212,0.999078,0.216238,0.355526,1084,1,7199,3929
5,round_5_add_endpoint_value_callbacks,15,2,0.726357,0.999850,0.333383,0.500037,0.727258,0.999406,0.335727,0.502613,1683,1,7199,3330
6,round_6_add_endpoint_schema_callbacks,15,4,0.835258,0.999917,0.598693,0.748955,0.837468,0.999670,0.604229,0.753202,3029,1,7199,1984
7,round_7_encoded_payloads_and_strict_paths,19,5,0.935397,0.999941,0.842659,0.914587,0.933268,0.999762,0.837622,0.911538,4199,1,7199,814
8,round_8_encoded_payloads_conservative_paths,19,6,0.880046,0.999930,0.707810,0.828885,0.878490,0.999717,0.704169,0.826311,3530,1,7199,1483
9,round_9_full_static_whitelist_and_put,19,5,0.935397,0.999941,0.842659,0.914587,0.933268,0.999762,0.837622,0.911538,4199,1,7199,814
10,round_10_value_constraints_no_asterisk,22,8,0.964730,0.999945,0.914123,0.955110,0.962663,0.999781,0.909236,0.952361,4558,1,7199,455
11,round_11_identity_field_shapes,22,10,0.977872,0.999053,0.946988,0.972324,0.976091,0.999154,0.942549,0.970027,4725,4,7196,288
12,round_12_contact_location_credentials,22,12,0.992037,0.999086,0.981498,0.990214,0.992140,0.999188,0.981648,0.990340,4921,4,7196,92
